street_id,source,target,street_name,street_length,amenity,Average_POI_Distance,shop,restaurant,healthcare,clothes,school
4309683,3144696839,3144696831,Aorere Street,4.927,0.0,4.927,0.0,0.0,0.0,0.0,0.0
260543777,9522966105,9522966158,Gibraltar Crescent,3.693,0.0,3.693,0.0,0.0,0.0,0.0,0.0
260543778,3144696838,25772332,Gibraltar Crescent,6.507,0.0,6.507,0.0,0.0,0.0,0.0,0.0
4309683,25772335,3144696833,Aorere Street,3.476,0.0,3.476,0.0,0.0,0.0,0.0,0.0
4309683,3144696833,3144696834,Aorere Street,3.043,0.0,3.043,0.0,0.0,0.0,0.0,0.0
4309683,3144696831,25772335,Aorere Street,33.355,0.0,33.355,0.0,0.0,0.0,0.0,0.0
4309683,2983926783,25772337,Aorere Street,4.777,0.0,4.777,0.0,0.0,0.0,0.0,0.0
260543778,25772340,2983926266,Gibraltar Crescent,3.882,0.0,3.882,0.0,0.0,0.0,0.0,0.0
260543778,2983926266,3144696832,Gibraltar Crescent,6.325,0.0,6.325,0.0,0.0,0.0,0.0,0.0
260543778,3144696830,25772340,Gibraltar Crescent,110.545,0.0,110.545,0.0,0.0,0.0,0.0,0.0
260543778,25772355,9632395380,Gibraltar Crescent,2.888,0.0,2.888,0.0,0.0,0.0,0.0,0.0
260543778,9632395380,3144692297,Gibraltar Crescent,3.479,0.0,3.479,0.0,0.0,0.0,0.0,0.0
260543778,9632395381,25772355,Gibraltar Crescent,3.376,0.0,3.376,0.0,0.0,0.0,0.0,0.0
4309672,25772358,3144693533,Falcon Street,27.963,0.0,27.963,0.0,0.0,0.0,0.0,0.0
260543778,25772358,9632395381,Gibraltar Crescent,7.205,0.0,7.205,0.0,0.0,0.0,0.0,0.0
4309672,3144693533,9632395386,Falcon Street,7.388,0.0,7.388,0.0,0.0,0.0,0.0,0.0
4309674,25772400,9632395397,Windsor Street,68.611,1.0,36.003838249995,1.0,0.0,0.0,0.0,0.0
4309666,25772882,25772400,Bath Street,72.747,0.0,72.747,0.0,0.0,0.0,0.0,0.0
260543773,25772882,3264977459,Bath Street,62.94,0.0,62.94,0.0,0.0,0.0,0.0,0.0
773914808,25772882,25772966,Garfield Street,71.915,0.0,71.915,0.0,0.0,0.0,0.0,0.0
4309668,25772614,25772966,Bradford Street,64.098,0.0,64.098,0.0,0.0,0.0,0.0,0.0
43099455,25772614,25772400,Windsor Street,70.144,0.0,70.144,0.0,0.0,0.0,0.0,0.0
260543783,25772614,392250093,Windsor Street,55.506,0.0,55.506,0.0,0.0,0.0,0.0,0.0
4309672,25772449,25772451,Falcon Street,27.67,0.0,27.67,0.0,0.0,0.0,0.0,0.0
4309672,3144693534,25772449,Falcon Street,17.712,0.0,17.712,0.0,0.0,0.0,0.0,0.0
4309673,25772571,2983924873,Cheshire Street,8.678,0.0,8.678,0.0,0.0,0.0,0.0,0.0
4309676,25772571,25772449,Tika Street,38.164,0.0,38.164,0.0,0.0,0.0,0.0,0.0
623945655,25772481,5891737497,Parnell Rise,12.616,0.0,12.616,0.0,0.0,0.0,0.0,0.0
